City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
532,yei,4.095,30.6779,19.14,95,100,0.7,SS,1731464198
533,boende,-0.2167,20.8667,21.52,94,48,0.67,CD,1731464199
534,tbeng meanchey,13.8167,104.9667,27.28,77,94,0.39,KH,1731464200
535,antalaha,-14.9003,50.2788,24.96,70,89,3.33,MG,1731464201
536,divrigi,39.371,38.1137,5.07,78,5,0.31,TR,1731464202
537,dabeiba,7.0017,-76.2672,20.81,98,100,0.85,CO,1731464203
538,midvagur,62.0511,-7.1939,9.46,76,100,13.38,FO,1731464204
539,shakawe,-18.3667,21.85,22.17,69,66,1.57,BW,1731464205
540,napili-honokowai,20.9708,-156.6705,27.64,85,58,9.55,US,1731464206
541,lyepyel',54.8814,28.6932,-0.41,91,44,1.72,BY,1731464208
542,manokwari,-0.8667,134.0833,28.79,70,40,2.64,ID,1731464209
543,flin flon,54.7682,-101.865,3.06,77,100,3.5,CA,1731464210
544,robertsport,6.7533,-11.3686,26.44,81,82,4.02,LR,1731464211
545,heber springs,35.4915,-92.0313,10.63,72,33,2.38,US,1731464212
546,cannonvale,-20.2833,148.7,27.66,61,38,4.29,AU,1731464213
547,hatillo,18.4863,-66.8254,25.06,87,25,3.25,PR,1731464214
548,mugia,43.1041,-9.2179,11.62,74,4,12.42,ES,1731464216
549,las khorey,11.1595,48.1967,25.34,71,43,2.4,SO,1731464217
550,tonj,7.2737,28.6822,23.04,80,58,0.81,SS,1731464218
551,rabaul,-4.1967,152.1721,28.8,71,81,1.91,PG,1731464219
552,buka,40.8108,69.1986,8.28,88,100,0.31,UZ,1731464220
553,fauske,67.2588,15.3918,8.86,92,100,4.29,NO,1731464221
554,tughyl,47.7252,84.2063,-3.38,69,100,0.15,KZ,1731464222
555,soio,-6.1349,12.3689,25.72,90,82,4.86,AO,1731464224
556,boromo,11.75,-2.9333,24.42,32,59,1.86,BF,1731464225
557,kone,-21.0595,164.8658,31.96,44,57,1.83,NC,1731464226
558,mwene-ditu,-7.0,23.45,17.94,95,94,1.98,CD,1731464227
559,paghman,34.5875,68.9533,1.92,37,29,0.86,AF,1731464228
560,reggane,26.7158,0.1714,20.96,36,86,2.81,DZ,1731464229
561,zhalantun,48.0,122.7167,-0.77,50,4,2.04,CN,1731464230
562,larache,35.1932,-6.1557,16.8,75,6,3.41,MA,1731464232
563,greenville,35.6127,-77.3663,11.75,69,0,0.89,US,1731464233
564,pangody,65.85,74.4859,-16.57,97,99,3.19,RU,1731464234
565,wenatchee,47.4235,-120.3103,9.66,71,100,1.55,US,1731464228
566,karasburg,-28.0167,18.75,16.13,35,0,2.35,NA,1731464236
567,viedma,-40.8135,-62.9967,14.03,44,63,2.48,AR,1731464030
568,shenjiamen,29.9576,122.298,20.29,72,100,3.28,CN,1731463949
569,kingscliff,-28.2667,153.5667,25.89,83,100,5.66,AU,1731464239
